,id,date,time,lap,latitude,longitude,velocity,navigation,vehicle_id_id
63828,22139038,2022-07-14,21:50:16,5,-13.5487284,-71.8807059,18,107,SJ07
63854,22130910,2022-07-14,20:38:40,5,-13.5507405,-71.9867513,17,203,SJ07
63927,22139074,2022-07-14,21:50:39,5,-13.5489097,-71.8800372,13,106,SJ07
63980,22139092,2022-07-14,21:50:52,5,-13.5491607,-71.8791849,30,105,SJ07
64019,22118762,2022-07-14,19:33:01,5,-13.5407185,-71.9010069,10,240,SJ07
64024,22139109,2022-07-14,21:51:13,5,-13.5493688,-71.8784488,22,101,SJ07
64060,22139125,2022-07-14,21:51:25,5,-13.5496792,-71.8774602,40,108,SJ07
64081,22130994,2022-07-14,20:39:09,5,-13.5514657,-71.9870391,22,199,SJ07
64104,22139140,2022-07-14,21:51:37,5,-13.5500254,-71.8762471,32,109,SJ07
64106,22135072,2022-07-14,21:08:05,5,-13.5232617,-71.9802144,6,116,SJ07
64128,22126944,2022-07-14,20:14:32,5,-13.5226907,-71.9813994,1,322,SJ07
64149,22131022,2022-07-14,20:39:21,5,-13.5519619,-71.9875458,25,249,SJ07
64200,22122902,2022-07-14,19:53:37,5,-13.5246545,-71.9557618,7,102,SJ07
64216,22139185,2022-07-14,21:52:07,5,-13.5502172,-71.8755444,21,106,SJ07
64233,22131054,2022-07-14,20:39:33,5,-13.5521395,-71.9882582,25,223,SJ07
64248,22139198,2022-07-14,21:52:21,5,-13.5504451,-71.8748152,25,106,SJ07
64320,22131087,2022-07-14,20:39:45,5,-13.5528774,-71.9886119,27,237,SJ07
64335,22139231,2022-07-14,21:52:46,5,-13.550654,-71.8740686,18,107,SJ07
64387,22139251,2022-07-14,21:52:58,5,-13.5508573,-71.8732746,31,104,SJ07
64390,22131115,2022-07-14,20:39:57,5,-13.5525892,-71.9892868,26,336,SJ07
64452,22139277,2022-07-14,21:53:10,5,-13.5511168,-71.8722168,36,103,SJ07
64470,22131144,2022-07-14,20:40:09,5,-13.5523395,-71.9898,25,231,SJ07
64472,22139282,2022-07-14,21:53:22,5,-13.5514241,-71.8709802,42,104,SJ07
64496,22135222,2022-07-14,21:09:21,5,-13.5235625,-71.9796083,19,115,SJ07
64512,22139298,2022-07-14,21:53:36,5,-13.5516535,-71.8700775,17,104,SJ07
64535,22131173,2022-07-14,20:40:22,5,-13.5530091,-71.9901649,13,206,SJ07
64543,22139314,2022-07-14,21:53:48,5,-13.5518635,-71.8692148,36,104,SJ07
64555,22135251,2022-07-14,21:09:33,5,-13.5238887,-71.9788899,30,114,SJ07
64588,22139332,2022-07-14,21:54:00,5,-13.5521636,-71.8680052,39,104,SJ07
64669,22139363,2022-07-14,21:54:23,5,-13.5523846,-71.867154,15,102,SJ07
64686,22119023,2022-07-14,19:34:16,5,-13.5390351,-71.903351,11,231,SJ07
64704,22127169,2022-07-14,20:15:48,5,-13.5224197,-71.9820222,10,291,SJ07
64719,22139380,2022-07-14,21:54:36,5,-13.5525886,-71.8662418,36,103,SJ07
64728,22131246,2022-07-14,20:40:47,5,-13.553713,-71.9904681,18,202,SJ07
64770,22139398,2022-07-14,21:54:51,5,-13.5528179,-71.8652807,20,101,SJ07
64799,22139413,2022-07-14,21:55:04,5,-13.5529455,-71.8645038,30,98,SJ07
64802,22123139,2022-07-14,19:54:37,5,-13.5244791,-71.9562808,6,315,SJ07
64856,22139435,2022-07-14,21:55:26,5,-13.553084,-71.8636295,17,94,SJ07
